"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that GET /posts/{id} returns 200 for several ids.","11","Verifies that GET /posts/{id} returns 200 for several ids Verifies that GET /posts/5 returns 200","","2026-06-16","passed","2026-06-16","","com.testautomation.api.tests.AllureModelBasedApiTest","com.testautomation.api.tests.AllureModelBasedApiTest","getSinglePost_mapsToPostObject"
"Verifies that an existing username returns the matching user data.","33","findByUsername_existingUser_returnsUser()","","2026-06-16","passed","2026-06-16","","com.testautomation.db.tests.UserRepositoryTest","com.testautomation.db.tests.UserRepositoryTest","findByUsername_existingUser_returnsUser"
"Verifies that GET /posts/{id} returns 200 for several ids.","17","Verifies that GET /posts/{id} returns 200 for several ids Verifies that GET /posts/1 returns 200","","2026-06-16","passed","2026-06-16","","com.testautomation.api.tests.AllureModelBasedApiTest","com.testautomation.api.tests.AllureModelBasedApiTest","getSinglePost_mapsToPostObject"
"Verifies that POST /posts returns 201 for several posts.","405","Verifies that POST /posts returns 201 for several posts Verifies that POST /posts returns 201 for: Post{id=0, userId=1, title='Learning OOP with Posts', body='Test body'}","","2026-06-16","passed","2026-06-16","","com.testautomation.api.tests.AllureModelBasedApiTest","com.testautomation.api.tests.AllureModelBasedApiTest","createPost_mapsResponseToPostObject"
"Verifies that POST /posts returns 201 for several posts.","73","Verifies that POST /posts returns 201 for several posts Verifies that POST /posts returns 201 for: Post{id=0, userId=1, title='Third post: accents áéíóú ñ ¿?', body='Body with accents'}","","2026-06-16","passed","2026-06-16","","com.testautomation.api.tests.AllureModelBasedApiTest","com.testautomation.api.tests.AllureModelBasedApiTest","createPost_mapsResponseToPostObject"
"Verifies that a non-existent username returns an empty result.","1698","findByUsername_nonExistentUser_returnsEmpty()","","2026-06-16","passed","2026-06-16","","com.testautomation.db.tests.UserRepositoryTest","com.testautomation.db.tests.UserRepositoryTest","findByUsername_nonExistentUser_returnsEmpty"
"Verifies that an invalid username/password combination shows an error message.","12691","invalidCredentials_showsErrorMessage()","","2026-06-16","passed","2026-06-16","","com.testautomation.ui.tests.LoginPageTest","com.testautomation.ui.tests.LoginPageTest","invalidCredentials_showsErrorMessage"
"Verifies that POST /posts returns 201 for several posts.","73","Verifies that POST /posts returns 201 for several posts Verifies that POST /posts returns 201 for: Post{id=0, userId=2, title='Second post for parameterized Allure test', body='Another different body'}","","2026-06-16","passed","2026-06-16","","com.testautomation.api.tests.AllureModelBasedApiTest","com.testautomation.api.tests.AllureModelBasedApiTest","createPost_mapsResponseToPostObject"
"Verifies that GET /posts/{id} returns 200 for several ids.","12","Verifies that GET /posts/{id} returns 200 for several ids Verifies that GET /posts/3 returns 200","","2026-06-16","passed","2026-06-16","","com.testautomation.api.tests.AllureModelBasedApiTest","com.testautomation.api.tests.AllureModelBasedApiTest","getSinglePost_mapsToPostObject"
"Verifies that GET /posts/{id} returns 200 for several ids.","11","Verifies that GET /posts/{id} returns 200 for several ids Verifies that GET /posts/4 returns 200","","2026-06-16","passed","2026-06-16","","com.testautomation.api.tests.AllureModelBasedApiTest","com.testautomation.api.tests.AllureModelBasedApiTest","getSinglePost_mapsToPostObject"
"Verifies that a valid username/password combination logs the user in successfully.","5039","validCredentials_logsInSuccessfully()","","2026-06-16","failed","2026-06-16","","com.testautomation.ui.tests.LoginPageTest","com.testautomation.ui.tests.LoginPageTest","validCredentials_logsInSuccessfully"
"Verifies that the active user count matches the seed data.","43","countActiveUsers_matchesSeedData()","","2026-06-16","passed","2026-06-16","","com.testautomation.db.tests.UserRepositoryTest","com.testautomation.db.tests.UserRepositoryTest","countActiveUsers_matchesSeedData"
"Verifies that GET /posts/{id} returns 200 for several ids.","11","Verifies that GET /posts/{id} returns 200 for several ids Verifies that GET /posts/2 returns 200","","2026-06-16","passed","2026-06-16","","com.testautomation.api.tests.AllureModelBasedApiTest","com.testautomation.api.tests.AllureModelBasedApiTest","getSinglePost_mapsToPostObject"
